Dimension	Hidden nodes	TrainData	TestData
29 dimensies	20	34,96240602	51,13636364
29	40	26,31578947	44,31818182
29	60	25,18796992	50
29	80	28,57142857	51,13636364
29	100	24,81203008	53,40909091
29	120	31,95488722	52,27272727
29	140	19,54887218	50
29	160	25,18796992	50
29	180	35,33834586	46,59090909
29	200	20,30075188	47,72727273
29	220	35,71428571	48,86363636
29	240	11,65413534	50
			
81 dimensies	20	51,12781955	48,86363636
81	40	47,36842105	37,5
81	60	43,23308271	48,86363636
81	80	45,4887218	50
81	100	35,71428571	36,36363636
81	120	49,62406015	45,45454545
81	140	37,96992481	38,63636364
81	160	31,20300752	44,31818182
81	180	28,94736842	54,54545455
81	200	36,09022556	50
